# Global sample schedule for Project 3 (MONSTER size)
# ORIGIN DEST FLIGHT_NUMBER DEPART ARRIVE ECONOMY BUSINESS FIRST
JFK JNB FW814 06:00 16:00 500 1250 2000
JFK JNB FW815 10:00 20:00 500 1250 2000
JNB AMS FW816 06:00 15:00 470 1175 1880
JNB AMS FW817 10:00 19:00 470 1175 1880
JNB AMS FW818 14:00 23:00 470 1175 1880
AMS JNB FW819 06:00 15:00 470 1175 1880
AMS JNB FW820 10:00 19:00 470 1175 1880
AMS JNB FW821 14:00 23:00 470 1175 1880
SYD JFK FW822 06:00 16:00 500 1250 2000
SYD JFK FW823 10:00 20:00 500 1250 2000
JFK SYD FW824 06:00 16:00 500 1250 2000
JFK SYD FW825 10:00 20:00 500 1250 2000
SYD SFO FW826 06:00 15:00 470 1175 1880
SYD SFO FW827 10:00 19:00 470 1175 1880
SYD SFO FW828 14:00 23:00 470 1175 1880
SFO SYD FW829 06:00 15:00 470 1175 1880
SFO SYD FW830 10:00 19:00 470 1175 1880
SFO SYD FW831 14:00 23:00 470 1175 1880
SYD HKG FW832 06:00 15:00 470 1175 1880
SYD HKG FW833 10:00 19:00 470 1175 1880
SYD HKG FW834 14:00 23:00 470 1175 1880
HKG SYD FW835 06:00 15:00 470 1175 1880
HKG SYD FW836 10:00 19:00 470 1175 1880
HKG SYD FW837 14:00 23:00 470 1175 1880
NRT MEX FW838 05:00 12:14 367 917 1468
NRT MEX FW839 09:00 16:14 367 917 1468
NRT MEX FW840 13:00 20:14 367 917 1468
DXB CAI FW841 05:00 07:18 219 547 876
DXB CAI FW842 09:00 11:18 219 547 876
DXB CAI FW843 13:00 15:18 219 547 876
DXB CAI FW844 17:00 19:18 219 547 876
YYZ YVR FW845 05:00 06:36 198 495 792
YYZ YVR FW846 09:00 10:36 198 495 792
YYZ YVR FW847 13:00 14:36 198 495 792
YYZ YVR FW848 17:00 18:36 198 495 792
MEX SEA FW849 05:00 07:45 232 580 928
MEX SEA FW850 09:00 11:45 232 580 928
MEX SEA FW851 13:00 15:45 232 580 928
MEX SEA FW852 17:00 19:45 232 580 928
CAI BCN FW853 05:00 10:49 324 810 1296
CAI BCN FW854 09:00 14:49 324 810 1296
CAI BCN FW855 13:00 18:49 324 810 1296
CAI BCN FW856 17:00 22:49 324 810 1296
BKK MAD FW857 05:00 13:16 398 995 1592
BKK MAD FW858 09:00 17:16 398 995 1592
BKK MAD FW859 13:00 21:16 398 995 1592
AKL EZE FW860 05:00 12:27 373 932 1492
AKL EZE FW861 09:00 16:27 373 932 1492
AKL EZE FW862 13:00 20:27 373 932 1492
BOM DXB FW863 05:00 10:59 329 822 1316
BOM DXB FW864 09:00 14:59 329 822 1316
BOM DXB FW865 13:00 18:59 329 822 1316
BOM DXB FW866 17:00 22:59 329 822 1316
YYZ DEL FW867 05:00 14:26 433 1082 1732
YYZ DEL FW868 09:00 18:26 433 1082 1732
YYZ DEL FW869 13:00 22:26 433 1082 1732
IST GRU FW870 05:00 15:00 450 1125 1800
IST GRU FW871 09:00 19:00 450 1125 1800
IST GRU FW872 13:00 23:00 450 1125 1800
DEL YVR FW873 05:00 13:23 401 1002 1604
DEL YVR FW874 09:00 17:23 401 1002 1604
DEL YVR FW875 13:00 21:23 401 1002 1604
PEK MEL FW876 05:00 10:31 315 787 1260
PEK MEL FW877 09:00 14:31 315 787 1260
PEK MEL FW878 13:00 18:31 315 787 1260
PEK MEL FW879 17:00 22:31 315 787 1260
CDG NRT FW880 05:00 14:45 442 1105 1768
CDG NRT FW881 09:00 18:45 442 1105 1768
CDG NRT FW882 13:00 22:45 442 1105 1768
MEL CPT FW883 05:00 13:54 417 1042 1668
MEL CPT FW884 09:00 17:54 417 1042 1668
MEL CPT FW885 13:00 21:54 417 1042 1668
BCN MNL FW886 05:00 13:08 394 985 1576
BCN MNL FW887 09:00 17:08 394 985 1576
BCN MNL FW888 13:00 21:08 394 985 1576
YVR JNB FW889 05:00 13:52 416 1040 1664
YVR JNB FW890 09:00 17:52 416 1040 1664
YVR JNB FW891 13:00 21:52 416 1040 1664
SEA CAI FW892 05:00 14:24 432 1080 1728
SEA CAI FW893 09:00 18:24 432 1080 1728
SEA CAI FW894 13:00 22:24 432 1080 1728
HKG DXB FW895 05:00 11:13 336 840 1344
HKG DXB FW896 09:00 15:13 336 840 1344
HKG DXB FW897 13:00 19:13 336 840 1344
HKG DXB FW898 17:00 23:13 336 840 1344
CDG CPT FW899 05:00 10:44 322 805 1288
CDG CPT FW900 09:00 14:44 322 805 1288
CDG CPT FW901 13:00 18:44 322 805 1288
CDG CPT FW902 17:00 22:44 322 805 1288
NBO MEL FW903 05:00 13:03 391 977 1564
NBO MEL FW904 09:00 17:03 391 977 1564
NBO MEL FW905 13:00 21:03 391 977 1564
PEK LHR FW906 05:00 14:56 448 1120 1792
PEK LHR FW907 09:00 18:56 448 1120 1792
PEK LHR FW908 13:00 22:56 448 1120 1792
EZE SFO FW909 05:00 10:58 329 822 1316
EZE SFO FW910 09:00 14:58 329 822 1316
EZE SFO FW911 13:00 18:58 329 822 1316
EZE SFO FW912 17:00 22:58 329 822 1316
KUL SEA FW913 05:00 14:08 424 1060 1696
KUL SEA FW914 09:00 18:08 424 1060 1696
KUL SEA FW915 13:00 22:08 424 1060 1696
PEK JFK FW916 05:00 14:27 433 1082 1732
PEK JFK FW917 09:00 18:27 433 1082 1732
PEK JFK FW918 13:00 22:27 433 1082 1732
SFO MAD FW919 05:00 11:55 357 892 1428
SFO MAD FW920 09:00 15:55 357 892 1428
SFO MAD FW921 13:00 19:55 357 892 1428
SFO MAD FW922 17:00 23:55 357 892 1428
SEA CDG FW923 05:00 11:58 359 897 1436
SEA CDG FW924 09:00 15:58 359 897 1436
SEA CDG FW925 13:00 19:58 359 897 1436
SEA CDG FW926 17:00 23:58 359 897 1436
CPH LAX FW927 05:00 10:35 317 792 1268
CPH LAX FW928 09:00 14:35 317 792 1268
CPH LAX FW929 13:00 18:35 317 792 1268
CPH LAX FW930 17:00 22:35 317 792 1268
JNB LAX FW931 05:00 13:26 403 1007 1612
JNB LAX FW932 09:00 17:26 403 1007 1612
JNB LAX FW933 13:00 21:26 403 1007 1612
NRT JFK FW934 05:00 12:12 366 915 1464
NRT JFK FW935 09:00 16:12 366 915 1464
NRT JFK FW936 13:00 20:12 366 915 1464
NRT JNB FW937 05:00 12:46 383 957 1532
NRT JNB FW938 09:00 16:46 383 957 1532
NRT JNB FW939 13:00 20:46 383 957 1532
BOM MNL FW940 05:00 06:45 202 505 808
BOM MNL FW941 09:00 10:45 202 505 808
BOM MNL FW942 13:00 14:45 202 505 808
BOM MNL FW943 17:00 18:45 202 505 808
DOH MNL FW944 05:00 10:02 301 752 1204
DOH MNL FW945 09:00 14:02 301 752 1204
DOH MNL FW946 13:00 18:02 301 752 1204
DOH MNL FW947 17:00 22:02 301 752 1204
MEL JNB FW948 05:00 13:49 414 1035 1656
MEL JNB FW949 09:00 17:49 414 1035 1656
MEL JNB FW950 13:00 21:49 414 1035 1656
GRU NRT FW951 05:00 14:49 444 1110 1776
GRU NRT FW952 09:00 18:49 444 1110 1776
GRU NRT FW953 13:00 22:49 444 1110 1776
IST SEA FW954 05:00 11:03 331 827 1324
IST SEA FW955 09:00 15:03 331 827 1324
IST SEA FW956 13:00 19:03 331 827 1324
IST SEA FW957 17:00 23:03 331 827 1324
SEA YYZ FW958 05:00 06:46 203 507 812
SEA YYZ FW959 09:00 10:46 203 507 812
SEA YYZ FW960 13:00 14:46 203 507 812
SEA YYZ FW961 17:00 18:46 203 507 812
FRA MEL FW962 05:00 14:02 421 1052 1684
FRA MEL FW963 09:00 18:02 421 1052 1684
FRA MEL FW964 13:00 22:02 421 1052 1684
SYD NRT FW965 05:00 11:08 334 835 1336
SYD NRT FW966 09:00 15:08 334 835 1336
SYD NRT FW967 13:00 19:08 334 835 1336
SYD NRT FW968 17:00 23:08 334 835 1336
AKL ICN FW969 05:00 10:05 302 755 1208
AKL ICN FW970 09:00 14:05 302 755 1208
AKL ICN FW971 13:00 18:05 302 755 1208
AKL ICN FW972 17:00 22:05 302 755 1208
DOH NBO FW973 05:00 11:00 330 825 1320
DOH NBO FW974 09:00 15:00 330 825 1320
DOH NBO FW975 13:00 19:00 330 825 1320
DOH NBO FW976 17:00 23:00 330 825 1320
LHR PEK FW977 05:00 14:18 429 1072 1716
LHR PEK FW978 09:00 18:18 429 1072 1716
LHR PEK FW979 13:00 22:18 429 1072 1716
BCN CAI FW980 05:00 10:18 309 772 1236
BCN CAI FW981 09:00 14:18 309 772 1236
BCN CAI FW982 13:00 18:18 309 772 1236
BCN CAI FW983 17:00 22:18 309 772 1236
LAX AKL FW984 05:00 13:23 401 1002 1604
LAX AKL FW985 09:00 17:23 401 1002 1604
LAX AKL FW986 13:00 21:23 401 1002 1604
GRU MEL FW987 05:00 13:34 407 1017 1628
GRU MEL FW988 09:00 17:34 407 1017 1628
GRU MEL FW989 13:00 21:34 407 1017 1628
ORD SIN FW990 05:00 12:56 388 970 1552
ORD SIN FW991 09:00 16:56 388 970 1552
ORD SIN FW992 13:00 20:56 388 970 1552
LHR MAD FW993 05:00 07:46 233 582 932
LHR MAD FW994 09:00 11:46 233 582 932
LHR MAD FW995 13:00 15:46 233 582 932
LHR MAD FW996 17:00 19:46 233 582 932
YVR KUL FW997 05:00 12:08 364 910 1456
YVR KUL FW998 09:00 16:08 364 910 1456
YVR KUL FW999 13:00 20:08 364 910 1456
MAD LHR FW1000 05:00 07:29 224 560 896
MAD LHR FW1001 09:00 11:29 224 560 896
MAD LHR FW1002 13:00 15:29 224 560 896
MAD LHR FW1003 17:00 19:29 224 560 896
PEK EZE FW1004 05:00 14:09 424 1060 1696
PEK EZE FW1005 09:00 18:09 424 1060 1696
PEK EZE FW1006 13:00 22:09 424 1060 1696
MEX GRU FW1007 05:00 11:55 357 892 1428
MEX GRU FW1008 09:00 15:55 357 892 1428
MEX GRU FW1009 13:00 19:55 357 892 1428
MEX GRU FW1010 17:00 23:55 357 892 1428
FRA JFK FW1011 05:00 11:56 358 895 1432
FRA JFK FW1012 09:00 15:56 358 895 1432
FRA JFK FW1013 13:00 19:56 358 895 1432
FRA JFK FW1014 17:00 23:56 358 895 1432
SYD MEL FW1015 05:00 07:46 233 582 932
SYD MEL FW1016 09:00 11:46 233 582 932
SYD MEL FW1017 13:00 15:46 233 582 932
SYD MEL FW1018 17:00 19:46 233 582 932
PEK DXB FW1019 05:00 11:39 349 872 1396
PEK DXB FW1020 09:00 15:39 349 872 1396
PEK DXB FW1021 13:00 19:39 349 872 1396
PEK DXB FW1022 17:00 23:39 349 872 1396
DEL CAI FW1023 05:00 10:36 318 795 1272
DEL CAI FW1024 09:00 14:36 318 795 1272
DEL CAI FW1025 13:00 18:36 318 795 1272
DEL CAI FW1026 17:00 22:36 318 795 1272
CAI BKK FW1027 05:00 11:30 345 862 1380
CAI BKK FW1028 09:00 15:30 345 862 1380
CAI BKK FW1029 13:00 19:30 345 862 1380
CAI BKK FW1030 17:00 23:30 345 862 1380
ORD CPH FW1031 05:00 11:14 337 842 1348
ORD CPH FW1032 09:00 15:14 337 842 1348
ORD CPH FW1033 13:00 19:14 337 842 1348
ORD CPH FW1034 17:00 23:14 337 842 1348
YYZ FRA FW1035 05:00 11:55 357 892 1428
YYZ FRA FW1036 09:00 15:55 357 892 1428
YYZ FRA FW1037 13:00 19:55 357 892 1428
YYZ FRA FW1038 17:00 23:55 357 892 1428
JNB MEL FW1039 05:00 12:03 361 902 1444
JNB MEL FW1040 09:00 16:03 361 902 1444
JNB MEL FW1041 13:00 20:03 361 902 1444
CPT CAI FW1042 05:00 10:41 320 800 1280
CPT CAI FW1043 09:00 14:41 320 800 1280
CPT CAI FW1044 13:00 18:41 320 800 1280
CPT CAI FW1045 17:00 22:41 320 800 1280
DEL GRU FW1046 05:00 13:38 409 1022 1636
DEL GRU FW1047 09:00 17:38 409 1022 1636
DEL GRU FW1048 13:00 21:38 409 1022 1636
NBO KUL FW1049 05:00 12:58 389 972 1556
NBO KUL FW1050 09:00 16:58 389 972 1556
NBO KUL FW1051 13:00 20:58 389 972 1556
KUL CAI FW1052 05:00 11:28 344 860 1376
KUL CAI FW1053 09:00 15:28 344 860 1376
KUL CAI FW1054 13:00 19:28 344 860 1376
KUL CAI FW1055 17:00 23:28 344 860 1376
EZE MEL FW1056 05:00 12:16 368 920 1472
EZE MEL FW1057 09:00 16:16 368 920 1472
EZE MEL FW1058 13:00 20:16 368 920 1472
SYD JFK FW1059 05:00 13:04 392 980 1568
SYD JFK FW1060 09:00 17:04 392 980 1568
SYD JFK FW1061 13:00 21:04 392 980 1568
DOH LAX FW1062 05:00 13:12 396 990 1584
DOH LAX FW1063 09:00 17:12 396 990 1584
DOH LAX FW1064 13:00 21:12 396 990 1584
EZE SIN FW1065 05:00 12:43 381 952 1524
EZE SIN FW1066 09:00 16:43 381 952 1524
EZE SIN FW1067 13:00 20:43 381 952 1524
CAI LAX FW1068 05:00 13:46 413 1032 1652
CAI LAX FW1069 09:00 17:46 413 1032 1652
CAI LAX FW1070 13:00 21:46 413 1032 1652
FRA EZE FW1071 05:00 13:31 405 1012 1620
FRA EZE FW1072 09:00 17:31 405 1012 1620
FRA EZE FW1073 13:00 21:31 405 1012 1620
YYZ SYD FW1074 05:00 13:48 414 1035 1656
YYZ SYD FW1075 09:00 17:48 414 1035 1656
YYZ SYD FW1076 13:00 21:48 414 1035 1656
MNL MAD FW1077 05:00 12:11 365 912 1460
MNL MAD FW1078 09:00 16:11 365 912 1460
MNL MAD FW1079 13:00 20:11 365 912 1460
LHR CPT FW1080 05:00 11:17 338 845 1352
LHR CPT FW1081 09:00 15:17 338 845 1352
LHR CPT FW1082 13:00 19:17 338 845 1352
LHR CPT FW1083 17:00 23:17 338 845 1352
MAD IST FW1084 05:00 06:31 195 487 780
MAD IST FW1085 09:00 10:31 195 487 780
MAD IST FW1086 13:00 14:31 195 487 780
MAD IST FW1087 17:00 18:31 195 487 780
JFK ORD FW1088 05:00 07:33 226 565 904
JFK ORD FW1089 09:00 11:33 226 565 904
JFK ORD FW1090 13:00 15:33 226 565 904
JFK ORD FW1091 17:00 19:33 226 565 904
AKL DXB FW1092 05:00 14:52 446 1115 1784
AKL DXB FW1093 09:00 18:52 446 1115 1784
AKL DXB FW1094 13:00 22:52 446 1115 1784
JNB PEK FW1095 05:00 12:42 381 952 1524
JNB PEK FW1096 09:00 16:42 381 952 1524
JNB PEK FW1097 13:00 20:42 381 952 1524
FRA KUL FW1098 05:00 12:50 385 962 1540
FRA KUL FW1099 09:00 16:50 385 962 1540
FRA KUL FW1100 13:00 20:50 385 962 1540
SCL BKK FW1101 05:00 12:11 365 912 1460
SCL BKK FW1102 09:00 16:11 365 912 1460
SCL BKK FW1103 13:00 20:11 365 912 1460
LHR BOM FW1104 05:00 13:08 394 985 1576
LHR BOM FW1105 09:00 17:08 394 985 1576
LHR BOM FW1106 13:00 21:08 394 985 1576
CPT SYD FW1107 05:00 14:14 427 1067 1708
CPT SYD FW1108 09:00 18:14 427 1067 1708
CPT SYD FW1109 13:00 22:14 427 1067 1708
MNL KUL FW1110 05:00 06:51 205 512 820
MNL KUL FW1111 09:00 10:51 205 512 820
MNL KUL FW1112 13:00 14:51 205 512 820
MNL KUL FW1113 17:00 18:51 205 512 820
AMS SYD FW1114 05:00 14:15 427 1067 1708
AMS SYD FW1115 09:00 18:15 427 1067 1708
AMS SYD FW1116 13:00 22:15 427 1067 1708
GRU KUL FW1117 05:00 12:49 384 960 1536
GRU KUL FW1118 09:00 16:49 384 960 1536
GRU KUL FW1119 13:00 20:49 384 960 1536
LAX YVR FW1120 05:00 07:08 214 535 856
LAX YVR FW1121 09:00 11:08 214 535 856
LAX YVR FW1122 13:00 15:08 214 535 856
LAX YVR FW1123 17:00 19:08 214 535 856
LAX SEA FW1124 05:00 07:33 226 565 904
LAX SEA FW1125 09:00 11:33 226 565 904
LAX SEA FW1126 13:00 15:33 226 565 904
LAX SEA FW1127 17:00 19:33 226 565 904
BCN NBO FW1128 05:00 11:50 355 887 1420
BCN NBO FW1129 09:00 15:50 355 887 1420
BCN NBO FW1130 13:00 19:50 355 887 1420
BCN NBO FW1131 17:00 23:50 355 887 1420
NBO LHR FW1132 05:00 11:52 356 890 1424
NBO LHR FW1133 09:00 15:52 356 890 1424
NBO LHR FW1134 13:00 19:52 356 890 1424
NBO LHR FW1135 17:00 23:52 356 890 1424
SIN JFK FW1136 05:00 13:59 419 1047 1676
SIN JFK FW1137 09:00 17:59 419 1047 1676
SIN JFK FW1138 13:00 21:59 419 1047 1676
BKK YVR FW1139 05:00 12:57 388 970 1552
BKK YVR FW1140 09:00 16:57 388 970 1552
BKK YVR FW1141 13:00 20:57 388 970 1552
JNB IST FW1142 05:00 10:36 318 795 1272
JNB IST FW1143 09:00 14:36 318 795 1272
JNB IST FW1144 13:00 18:36 318 795 1272
JNB IST FW1145 17:00 22:36 318 795 1272
SYD KUL FW1146 05:00 11:07 333 832 1332
SYD KUL FW1147 09:00 15:07 333 832 1332
SYD KUL FW1148 13:00 19:07 333 832 1332
SYD KUL FW1149 17:00 23:07 333 832 1332
MNL AMS FW1150 05:00 12:23 371 927 1484
MNL AMS FW1151 09:00 16:23 371 927 1484
MNL AMS FW1152 13:00 20:23 371 927 1484
YYZ BKK FW1153 05:00 12:26 373 932 1492
YYZ BKK FW1154 09:00 16:26 373 932 1492
YYZ BKK FW1155 13:00 20:26 373 932 1492
CAI BOM FW1156 05:00 10:56 328 820 1312
CAI BOM FW1157 09:00 14:56 328 820 1312
CAI BOM FW1158 13:00 18:56 328 820 1312
CAI BOM FW1159 17:00 22:56 328 820 1312
JFK YVR FW1160 05:00 07:48 234 585 936
JFK YVR FW1161 09:00 11:48 234 585 936
JFK YVR FW1162 13:00 15:48 234 585 936
JFK YVR FW1163 17:00 19:48 234 585 936
YVR CDG FW1164 05:00 11:09 334 835 1336
YVR CDG FW1165 09:00 15:09 334 835 1336
YVR CDG FW1166 13:00 19:09 334 835 1336
YVR CDG FW1167 17:00 23:09 334 835 1336
EZE IST FW1168 05:00 14:22 431 1077 1724
EZE IST FW1169 09:00 18:22 431 1077 1724
EZE IST FW1170 13:00 22:22 431 1077 1724
LAX MNL FW1171 05:00 13:11 395 987 1580
LAX MNL FW1172 09:00 17:11 395 987 1580
LAX MNL FW1173 13:00 21:11 395 987 1580
DXB AKL FW1174 05:00 12:49 384 960 1536
DXB AKL FW1175 09:00 16:49 384 960 1536
DXB AKL FW1176 13:00 20:49 384 960 1536
CPT NBO FW1177 05:00 07:36 228 570 912
CPT NBO FW1178 09:00 11:36 228 570 912
CPT NBO FW1179 13:00 15:36 228 570 912
CPT NBO FW1180 17:00 19:36 228 570 912
